mcc_cat_desc,total,transactions,doy,hour
AIRLINES,2000,1,319,8
AIRLINES,39.95,1,319,12
AIRLINES,90,1,320,9
AIRLINES,61.58,1,321,14
AIRLINES,951.2,1,321,19
AIRLINES,144,1,322,12
AIRLINES,503.1,1,324,15
AIRLINES,15.25,1,324,19
AIRLINES,1004.61,1,324,23
AIRLINES,20,1,325,13
AIRLINES,15,1,325,14
AIRLINES,103.89,1,326,6
AIRLINES,52.38,1,326,8
AIRLINES,2250.32,1,326,17
AIRLINES,1733.4,1,328,10
AIRLINES,27.5,1,328,17
AIRLINES,182.29,1,329,6
AIRLINES,192.8,1,329,11
AIRLINES,76.76,1,329,13
AIRLINES,487.3,1,329,17
AIRLINES,2377,1,330,6
AIRLINES,41.65,2,330,10
AIRLINES,72,1,330,11
AIRLINES,1248.91,1,331,12
AIRLINES,10.5,1,331,17
AIRLINES,27.5,1,332,13
AIRLINES,306.3,1,332,15
AIRLINES,571.6,1,333,15
AIRLINES,35,1,334,12
ALCOHOL,312.49,24,319,0
ALCOHOL,362.74,16,319,1
ALCOHOL,8.6,1,319,2
ALCOHOL,90.7,7,319,4
ALCOHOL,466.25,18,319,5
ALCOHOL,4888.36,155,319,6
ALCOHOL,12104.26,336,319,7
ALCOHOL,24381.81,603,319,8
ALCOHOL,32515.6300000001,824,319,9
ALCOHOL,38364.11,1044,319,10
ALCOHOL,44930.8,1329,319,11
ALCOHOL,53460.3699999999,1620,319,12
ALCOHOL,73266.2900000001,2189,319,13
ALCOHOL,88665.96,2756,319,14
ALCOHOL,91066.69,3018,319,15
ALCOHOL,79281.9200000001,2654,319,16
ALCOHOL,69489.3699999998,2448,319,17
ALCOHOL,50461.95,1880,319,18
ALCOHOL,28552.94,1170,319,19
ALCOHOL,16626.27,763,319,20
ALCOHOL,8611.39999999999,435,319,21
ALCOHOL,4934.93,320,319,22
ALCOHOL,2430.3,150,319,23
ALCOHOL,1392.4,82,320,0
ALCOHOL,952.16,57,320,1
ALCOHOL,117.1,6,320,2
ALCOHOL,12.8,1,320,3
ALCOHOL,56.8,4,320,4
ALCOHOL,295.6,13,320,5
ALCOHOL,7501.46,197,320,6
ALCOHOL,17457.75,412,320,7
ALCOHOL,30942.3,784,320,8
ALCOHOL,44330.76,1102,320,9
ALCOHOL,54437.58,1493,320,10
ALCOHOL,70135.31,1784,320,11
ALCOHOL,71781.2999999999,2064,320,12
ALCOHOL,83496.57,2368,320,13
ALCOHOL,80088.4400000003,2396,320,14
ALCOHOL,77144.1500000001,2524,320,15
ALCOHOL,70495.4900000002,2325,320,16
ALCOHOL,56733.72,2072,320,17
ALCOHOL,43675.31,1695,320,18
ALCOHOL,23427.48,1008,320,19
ALCOHOL,15575.72,687,320,20
ALCOHOL,8417,425,320,21
ALCOHOL,4916.04,308,320,22
ALCOHOL,3363.54,198,320,23
ALCOHOL,1378.83,75,321,0
ALCOHOL,664.76,38,321,1
ALCOHOL,19.99,1,321,2
ALCOHOL,6.91,1,321,3
ALCOHOL,44.01,5,321,4
ALCOHOL,113.94,3,321,5
ALCOHOL,872.43,24,321,6
ALCOHOL,3073.89,115,321,7
ALCOHOL,8600.55,298,321,8
ALCOHOL,21548.3,728,321,9
ALCOHOL,24284.47,807,321,10
ALCOHOL,26624.53,914,321,11
ALCOHOL,27353.09,974,321,12
ALCOHOL,31519.3,1126,321,13
ALCOHOL,25878.26,946,321,14
ALCOHOL,18840.83,826,321,15
ALCOHOL,17801,750,321,16
ALCOHOL,13261.07,615,321,17
ALCOHOL,6723.37,397,321,18
ALCOHOL,4621.88,295,321,19
ALCOHOL,2629.98,188,321,20
ALCOHOL,2598.13,174,321,21
ALCOHOL,1025.48,85,321,22
ALCOHOL,477.77,36,321,23
ALCOHOL,107.21,9,322,0
ALCOHOL,65.74,2,322,1
ALCOHOL,4.94,1,322,4
ALCOHOL,284.97,15,322,5
ALCOHOL,2020.65,95,322,6
ALCOHOL,5754.1,172,322,7
ALCOHOL,11558.29,333,322,8
ALCOHOL,14263.89,449,322,9
ALCOHOL,16795.99,539,322,10
ALCOHOL,21229.47,681,322,11
ALCOHOL,27212.93,897,322,12
ALCOHOL,27108.28,1001,322,13
ALCOHOL,31320.37,1287,322,14
ALCOHOL,33983.4,1341,322,15
ALCOHOL,28856.66,1166,322,16
ALCOHOL,30250.1,1011,322,17
ALCOHOL,14520.12,657,322,18
ALCOHOL,7909.62,399,322,19
ALCOHOL,5115.51,278,322,20
ALCOHOL,2832.39,183,322,21
ALCOHOL,1262.21,92,322,22
ALCOHOL,629.46,33,322,23
ALCOHOL,283.43,16,323,0
ALCOHOL,114.34,8,323,1
ALCOHOL,29.12,1,323,2
ALCOHOL,66.51,6,323,4
ALCOHOL,329.74,13,323,5
ALCOHOL,1699.34,85,323,6
ALCOHOL,5792.42,189,323,7
ALCOHOL,10238.26,352,323,8
ALCOHOL,13596.72,459,323,9
ALCOHOL,20686.67,582,323,10
ALCOHOL,18959.34,650,323,11
ALCOHOL,28482.7,840,323,12
ALCOHOL,31782.73,1035,323,13
ALCOHOL,36490.62,1343,323,14
ALCOHOL,39458.67,1440,323,15
ALCOHOL,30161.17,1225,323,16
ALCOHOL,25028.73,1098,323,17
ALCOHOL,17046.41,785,323,18
ALCOHOL,8634.74,449,323,19
ALCOHOL,5556.19,331,323,20
ALCOHOL,3499.76,172,323,21
ALCOHOL,1945.59,121,323,22
ALCOHOL,868.35,58,323,23
ALCOHOL,117.35,8,324,0
ALCOHOL,189.5,7,324,1
ALCOHOL,26.8,2,324,3
ALCOHOL,35.8,2,324,4
ALCOHOL,153.33,11,324,5
ALCOHOL,3926.51,104,324,6
ALCOHOL,7013.4,212,324,7
ALCOHOL,12960.81,379,324,8
ALCOHOL,16556.43,450,324,9
ALCOHOL,21434.31,583,324,10
ALCOHOL,21842.41,703,324,11
ALCOHOL,26769.89,923,324,12
ALCOHOL,33859.02,1152,324,13
ALCOHOL,42501.48,1480,324,14
ALCOHOL,42872.42,1537,324,15
ALCOHOL,36653.43,1369,324,16
ALCOHOL,30024.69,1208,324,17
ALCOHOL,20505.3,839,324,18
ALCOHOL,10975.7,532,324,19
ALCOHOL,6590.74999999999,347,324,20
ALCOHOL,3146.84,201,324,21
ALCOHOL,1684.71,111,324,22
ALCOHOL,767.22,54,324,23
ALCOHOL,290.78,15,325,0
ALCOHOL,250.81,10,325,1
ALCOHOL,36,1,325,2
ALCOHOL,95.45,8,325,4
ALCOHOL,269.71,20,325,5
ALCOHOL,2958.33,124,325,6
ALCOHOL,8387.89,228,325,7
ALCOHOL,14312.02,381,325,8
ALCOHOL,21085.22,578,325,9
ALCOHOL,22695.11,629,325,10
ALCOHOL,28549.99,828,325,11
ALCOHOL,35869.73,1029,325,12
ALCOHOL,46161.6200000001,1312,325,13
ALCOHOL,45350.7300000001,1601,325,14
ALCOHOL,47834.6099999999,1730,325,15
ALCOHOL,43610.4100000001,1557,325,16
ALCOHOL,37817.78,1463,325,17
ALCOHOL,24662.22,1021,325,18
ALCOHOL,12754.26,580,325,19
ALCOHOL,7700.08999999999,374,325,20
ALCOHOL,4216.72,243,325,21
ALCOHOL,1806.36,135,325,22
ALCOHOL,980.99,62,325,23
ALCOHOL,422.05,29,326,0
ALCOHOL,206.31,13,326,1
ALCOHOL,38.17,5,326,3
ALCOHOL,67.27,8,326,4
ALCOHOL,378.89,24,326,5
ALCOHOL,4631.52,167,326,6
ALCOHOL,12577.64,358,326,7
ALCOHOL,24030.53,605,326,8
ALCOHOL,29364.74,802,326,9
ALCOHOL,41229.23,1062,326,10
ALCOHOL,52455.29,1363,326,11
ALCOHOL,65053.0600000001,1754,326,12
ALCOHOL,76957.0099999997,2277,326,13
ALCOHOL,99886.44,2880,326,14
ALCOHOL,98501.9,2902,326,15
ALCOHOL,87060.6800000002,2864,326,16
ALCOHOL,73770.7799999999,2518,326,17
ALCOHOL,51434.5100000001,1920,326,18
ALCOHOL,27799.62,1143,326,19
ALCOHOL,19052.99,804,326,20
ALCOHOL,8473.76999999999,424,326,21
ALCOHOL,5031.68,309,326,22
ALCOHOL,3023.24,167,326,23
ALCOHOL,1536.1,77,327,0
ALCOHOL,750.56,47,327,1
ALCOHOL,209.56,7,327,2
ALCOHOL,77.03,1,327,3
ALCOHOL,120.55,7,327,4
ALCOHOL,452.43,15,327,5
ALCOHOL,11671.43,251,327,6
ALCOHOL,20116.55,490,327,7
ALCOHOL,39768.45,910,327,8
ALCOHOL,55086.5599999999,1253,327,9
ALCOHOL,67649.8599999999,1613,327,10
ALCOHOL,82737.86,1895,327,11
ALCOHOL,85834.6000000001,2199,327,12
ALCOHOL,92129.0300000002,2431,327,13
